overview,director,poster_path,release_date,runtime,title,genres
"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",Martin Scorsese,/vK1o5rZGqxyovfIhZyMELhk03wO.jpg,2013-12-25,180,The Wolf of Wall Street,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Christopher Nolan,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,2010-07-14,148,Inception,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]"
"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",David Fincher,/adw6Lq9FiC9zjYEpOqfq03ituwp.jpg,1999-10-15,139,Fight Club,"[{'id': 18, 'name': 'Drama'}]"
Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Christopher Nolan,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,2014-11-05,169,Interstellar,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]"
"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",Martin Scorsese,/hAPeXBdGDGmXRPj4OZZ0poH65Iu.jpg,1990-09-12,145,GoodFellas,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",Francis Ford Coppola,/bVq65huQ8vHDd1a4Z37QtuyEvpA.jpg,1974-12-20,200,The Godfather: Part II,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Lana Wachowski; Lilly Wachowski,/hEpWvX6Bp79eLxY1kX5ZZJcme5U.jpg,1999-03-30,136,The Matrix,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",David Fincher,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,1995-09-22,127,Se7en,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",Frank Darabont,/3yJUlOtVa09CYJocwBU8eAryja0.jpg,1999-12-10,189,The Green Mile,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",Damien Chazelle,/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg,2014-10-10,105,Whiplash,"[{'id': 18, 'name': 'Drama'}]"
"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",Luc Besson,/gE8S02QUOhVnAmYu4tcrBlMTujz.jpg,1994-09-14,110,Leon: The Professional,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
